	id	Seating Interest (Sidewalk/Roadway/Both)	Restaurant Name	Legal Business Name	Doing Business As (DBA)	Postcode	Business Address	Food Service Establishment Permit #	Approved for Sidewalk Seating	Approved for Roadway Seating	Qualify Alcohol	SLA License Type	Landmark District or Building	landmarkDistrict_terms	healthCompliance_terms	Time of Submission	BIN	BBL	NTA
0	1	sidewalk	SUBWAY	FRESH SUBWAY 168 INC	Fresh Sub 168 Inc	11365	18524A HORACE HARDING EXPY, Queens, NY	50053455	yes	no	no		no	no	yes	08/25/2020 08:48:00 PM			Not Available
1	2	both	Warique	Dream team restaurant associates inc	Dream team restaurant associates inc	11372	90-04  37 ave , Queens, NY	50105335	yes	yes	no		no	no	yes	08/20/2020 05:32:00 PM	4036347.0	4014780001.0	Jackson Heights
2	3	both	Prince Laban&Chinese restaurent	Renessa inc.	Prince Kababish & Chinese restaurant	11372	3756 74 street, Queens, NY	50069734	yes	yes	no		no	no	yes	08/15/2020 04:55:00 PM	4029808.0	4012840065.0	Jackson Heights
3	4	sidewalk	Philly Pretzel Factory	Snacking Made Easy LLC	Philly Pretzel Factory	11217	131 5th Ave, Brooklyn, NY	50097413	yes	no	no		no	no	yes	08/15/2020 09:58:00 AM	3019193.0	3009440004.0	Park Slope-Gowanus
4	5	roadway	About Coffee	ABOUT COFFEE LLC	ABOUT COFFEE	10012	71 SULLIVAN STREET, Manhattan, NY	50047872	no	yes	no		no	no	yes	08/14/2020 05:08:00 PM	1007347.0	1004890008.0	SoHo-TriBeCa-Civic Center-Little Italy
5	6	both	BICKLES TO GO	BICKLES 2 GO INC	BICKLES 2 GO	10451	726 COURTLANDT AVE, Bronx, NY	50104163	yes	yes	no		no	no	yes	08/17/2020 10:29:00 AM	2091199.0	2024020005.0	Melrose South-Mott Haven North
6	7	both	BLUE BOTTLE COFFEE	BLUE BOTTLE COFFEE, INC	BLUE BOTTLE COFFEE	10005	20 BROAD STREET, Manhattan, NY	50104404	yes	yes	no		yes	yes	yes	08/26/2020 10:45:00 AM			Not Available
7	8	both	NEW CHOI FOOK RESTAURANT	NEW CHOI FOOK RESTAURANT	NEW CHOI FOOK RESTAURANT	11214	2050  86th Street, Brooklyn, NY	50078609	yes	yes	no		no	no	yes	08/20/2020 03:09:00 PM	3166942.0	3063760045.0	Bensonhurst West
8	9	sidewalk	Seasoned Vegan	Seasoned Vegan, LLC	Seasoned Vegan, LLC	10026	55 St. Nicholas Avenue, Manhattan, NY	50003337	yes	no	yes	RW	no	no	yes	06/26/2020 08:38:00 PM	1054995.0	1018220052.0	Central Harlem South
9	10	both	Le Pain Quotidien GCW	APQ Grand Central West NY, LLC	Le Pain Quotidien	10017	16 East 44th St., Manhattan, NY	50105624	yes	yes	no		no	no	yes	08/17/2020 09:46:00 AM	1035357.0	1012780014.0	Midtown-Midtown South
10	11	both	Asian Kabab and Curry	Asian Kabab and Curry Inc	Asian Kabab and Curry Inc	11208	496 Crescent, Brooklyn, NY	50056793	yes	yes	no		no	no	yes	08/14/2020 06:10:00 PM			Not Available
11	12	both	35-09 Ditmars Bagel Corp	35-09 Ditmars Bagel Corp	Brooklyn Bagel & Coffee Company	11105	35-09 Ditmars Blvd, Queens, NY	41031977	yes	yes	no		no	no	yes	08/16/2020 05:22:00 PM	4016549.0	4008240004.0	Steinway
12	13	sidewalk	E & S Sweet Bites Inc	E & S Sweet Bites Inc	E & S Sweet Bites Inc	10462	675 Morris Park Avenue , Bronx, NY	50104499	yes	no	no		no	no	yes	08/20/2020 08:29:00 PM	2043448.0	2040490006.0	Van Nest-Morris Park-Westchester Square
13	14	roadway	&pizza	IMAPIZZA	IMAPIZZA	10001	15 West 28th Street, Manhattan, NY	50065316	no	yes	no		yes	yes	yes	08/21/2020 11:23:00 AM	1015728.0	1008300030.0	Midtown-Midtown South
14	15	sidewalk	LOS CAFETALES RESTAURANT CORP	LOS CAFETALES RESTAURANT CORP	LOS CAFETALES RESTAURANT CORP	11372	78-17 ROOSEVELT AVE, Queens, NY	50081709	yes	no	no		no	no	yes	08/21/2020 08:45:00 AM	4029940.0	4012890039.0	Jackson Heights
15	16	both	Il Bel Paese Pizzeria & Trattoria	Amici Italian Foods INC	Il Bel Paese Pizzeria & Trattoria	11237	305 Knickerbocker Avenue , Brooklyn, NY	50101212	yes	yes	no		no	no	yes	08/15/2020 04:04:00 PM	3073201.0	3032200003.0	Bushwick North
16	17	sidewalk	Desi Galli	Second Desi Galli LLC	Desi Galli	10009	172 Avenue B, Manhattan, NY	50047650	yes	no	no		no	no	yes	08/20/2020 07:52:00 PM	1088214.0	1004040029.0	East Village
17	18	both	PICASSO PIZZERIA	PARMA SOUTH END FOOD CORP.	PARMA SOUTH END FOOD CORP.	10280	303 SOUTH END AVENUE, Manhattan, NY	40592207	yes	yes	no		no	no	yes	08/20/2020 09:55:00 PM	1085492.0	1000160001.0	Battery Park City-Lower Manhattan
18	19	sidewalk	GOLDEN CITY SEAFOOD RESTAURANT	GOLDEN CITY SEAFOOD RESTAURANT INC	GOLDEN CITY SEAFOOD RESTAURANT	11204	6418 20 AVENUE, Brooklyn, NY	50073746	yes	no	no		no	no	yes	09/03/2020 08:37:00 PM			Not Available
19	20	both	LA PULPERIA 44	LOTUS WEST CORP	LA PULPERIA 44	10036	623 9TH AVE, Manhattan, NY	50105535	yes	yes	no		no	no	yes	08/17/2020 12:16:00 PM	1026414.0	1010540029.0	Clinton
20	21	sidewalk	SWEETGREEN	SWEETGREEN NEW YORK LLC	SWEETGREEN	10003	347  BOWERY, Manhattan, NY	50098726	yes	no	no		no	no	yes	08/20/2020 03:17:00 PM	1090232.0	1004597503.0	East Village
21	22	sidewalk	Egeo	Egeo Astoria LLC	Egeo Astoria LLC	11106	3101 34th Ave, Queens, NY	50105751	yes	no	no		no	no	yes	08/20/2020 12:15:00 PM	4008253.0	4006110004.0	Astoria
22	23	both	Juices for life	3463 juices for life	3463 juices for life	10465	3463 East Fremont ave, Bronx, NY	50017778	yes	yes	no		no	no	yes	07/17/2020 11:49:00 AM			Not Available
23	24	sidewalk	LOS CAFETALES RESTAURANT CORP	LOS CAFETALES RESTAURANT CORP	LOS CAFETALES RESTAURANT CORP	11372	78-17 ROOSEVELT AVE, Queens, NY	50081709	yes	no	no		no	no	yes	08/21/2020 08:54:00 AM	4029940.0	4012890039.0	Jackson Heights
24	25	sidewalk	ICE CREAM HOUSE	ICE CREAM HOUSE ON AVENUE M LLC	ICE CREAM HOUSE ON AVENUE M LLC	11230	1725 AVENUE M, Brooklyn, NY	50068251	yes	no	no		no	no	yes	08/20/2020 02:43:00 PM	3180687.0	3067370050.0	Midwood
25	26	sidewalk	Starbucks Coffee	Starbucks Corporation	Starbucks Corporation	10158	605 Third Ave, Manhattan, NY	50058917	yes	no	no		no	no	yes	08/20/2020 05:27:00 PM	1082153.0	1009200012.0	Turtle Bay-East Midtown
26	27	roadway	FRIENDSHIP FOODS ONE INC	FRIENDSHIP FOODS ONE INC	FRIENDSHIP FOODS ONE INC	10002	103 BOWERY, Manhattan, NY	50096488	no	yes	no		no	no	yes	08/15/2020 04:17:00 PM	1003922.0	1003040005.0	Chinatown
27	28	both	Le Pain Quotidien Soho	APQ Soho NY, LLC	Le Pain Quotidien	10013	100 Grand Street , Manhattan, NY	50105639	yes	yes	no		no	no	yes	08/17/2020 09:24:00 AM	1007044.0	1004740022.0	SoHo-TriBeCa-Civic Center-Little Italy
28	29	sidewalk	Gramercy Bagels	KNL Green Food Inc	KNL Green Food Inc	10010	246 246 3rd ave, Manhattan, NY	41670030	yes	no	no		no	no	yes	07/17/2020 12:09:00 PM			Not Available
29	30	both	Lucky Seven Restaurant & Bar LLC	Lucky Seven Restaurant & Bar LLC	Lucky Seven Tapas Bar	10033	1455  St Nicholas Avenue, Manhattan, NY	41603214	yes	yes	yes	OP	no	no	yes	07/08/2020 03:58:00 PM	1063948.0	1021650038.0	Washington Heights North
30	31	sidewalk	E & S SWEET BITES INC	E & S SWEET BITES INC	E & S SWEET BITES INC	10462	675  MORRIS PARK AVE, Bronx, NY	50104499	yes	no	no		no	no	yes	08/20/2020 08:11:00 PM	2043448.0	2040490006.0	Van Nest-Morris Park-Westchester Square
31	32	sidewalk	mcdonalds	5404 myrtle corp	5404 myrtle corp	11385	54-05 myrtle ave, Queens, NY	50078731	yes	no	no		no	no	yes	08/15/2020 09:51:00 AM			Ridgewood
32	33	both	Atlas Cafe	BAB ELKADRA	Atlas	10003	73 2nd ave, Manhattan, NY	50012302	yes	yes	no		no	no	yes	08/21/2020 10:59:00 AM	1006595.0	1004600040.0	East Village
33	34	sidewalk	EL SALVADOR RESTAURANT	EL SALVADOR RESTAURANT DE MARINA INC	ANTOJITOS DE SAN CECILIO PLACE inc	11237	1544 MYRTLE AVENUE, Brooklyn, NY	50044131	yes	no	no		no	no	yes	08/26/2020 11:53:00 AM			Not Available
34	35	roadway	Padishah Restaurant	Padishah Corp.	Padishah Corp.	11229	1920  1920 Ave U, Brooklyn, NY	50002771	no	yes	no		no	no	yes	08/15/2020 09:33:00 AM			Not Available
35	36	sidewalk	JERK HOUSE CARIBBEAN RESTAURANT	JERK HOUSE CARIBBEAN RESTAURANT LLC	JERK HOUSE CARIBBEAN RESTAURANT	10027	2143 ADAM CLAYTON POWELL JR BOULEVARD, Manhattan, NY	50100349	yes	no	no		no	no	yes	08/26/2020 08:52:00 AM			Not Available
36	37	roadway	KRISPY KREME DOUGHNUT	KRISPY KREME DOUGHNUT CORPORATION	KRISPY KREME DOUGHNUT	10019	1601 BROADWAY, Manhattan, NY	50105940	no	yes	no		no	no	yes	10/26/2020 12:44:00 PM			Not Available
37	38	sidewalk	Le Pain Quotidien Lincoln Sq	APQ Lincoln Square NY, LLC	Le Pain Quotidien	10023	60 W 65th St, Manhattan, NY	50105559	yes	no	no		no	no	yes	08/17/2020 09:57:00 AM	1086193.0	1011170001.0	Lincoln Square
38	39	both	THAI DIVA CUISINE	RUAYSUB CORP	THAI DIVA CUISINE	11377	4553 46TH ST, Queens, NY	50077461	yes	yes	no		yes	yes	yes	09/03/2020 08:09:00 PM			Not Available
39	40	sidewalk	GYRO KING	GYRO KING FOODS CORP	GYRO KING	10468	50 EAST FORDHAM RD., Bronx, NY	40596246	yes	no	no		no	no	yes	08/16/2020 01:50:00 PM	2014027.0	2031840039.0	Fordham South
40	41	both	KING'S STREET COFFEE	KING'S STREET COFFEE INC	KING'S STREET COFFEE	10001	121 WEST   30 STREET, Manhattan, NY	50070551	yes	yes	no		no	no	yes	09/03/2020 09:36:00 PM			Not Available
41	42	sidewalk	The Tasty Waffle Company	The Tasty Waffle Company LLC	The Tasty Waffle Company LLC	11221	227 Malcolm X Boulevard, Brooklyn, NY	50087231	yes	no	no		no	no	yes	08/20/2020 09:08:00 PM	3045858.0	3016570004.0	Stuyvesant Heights
42	43	both	LE PAIN QUOTIDIEN	APQ 708 THIRD AVENUE NY LLC	LE PAIN QUOTIDIEN	10017	708 3 AVENUE, Manhattan, NY	50105641	yes	yes	no		no	no	yes	09/07/2020 06:59:00 PM			Not Available
43	44	both	BRIK ASTORIA	AFB LOUNGE LLC	AFB LOUNGE LLC	11103	3216 STEINWAY, Queens, NY	50012102	yes	yes	no		no	no	yes	08/21/2020 01:58:00 AM			Not Available
44	45	both	GRIND NYC COFFEE SHOP	AGIOS MARKOS CORPORATION	GRIND NYC COFFEE SHOP	10036	602 9 AVENUE, Manhattan, NY	50105604	yes	yes	no		no	no	yes	08/26/2020 09:04:00 AM			Not Available
45	46	sidewalk	LA PULPERIA 44	LOTUS WEST CORP	LOTUS WEST CORP	10036	623  9TH AVE, Manhattan, NY	50105535	yes	no	no		no	no	yes	08/17/2020 12:27:00 PM	1026414.0	1010540029.0	Clinton
46	47	both	Blendzville Cafe Inc	Blendzville Cafe Inc	Blendzville Cafe Inc	11212	5 Sutter ave, Brooklyn, NY	50044017	yes	yes	no		no	no	yes	08/16/2020 07:39:00 PM	3080769.0	3035080001.0	Brownsville
47	48	sidewalk	kosher Hut of Brooklyn	Kosher hut of Brooklyn Inc	Kosher Hut of Brooklyn Inc	11223	709 Kings Highway, Brooklyn, NY	40378827	yes	no	no		no	no	yes	08/21/2020 10:06:00 AM	3177500.0	3066640027.0	Homecrest
48	49	both	BLUE CITY LOUNGE CORP.	BLUE CITY LOUNGE CORP	BLUE CITY LOUNGE CORP	11368	10711 NORTHERN BLVD, Queens, NY	50043851	yes	yes	no		no	no	yes	08/20/2020 06:41:00 PM	4042212.0	4017020062.0	East Elmhurst
49	50	both	Reginaï¿½s Family Pizzeria	Reginasï¿½s family pizza inc	Reginasï¿½s family pizza inc	11366	176-24 Union tpke, Queens, NY	41486945	yes	yes	no		no	no	yes	08/20/2020 05:22:00 PM			Pomonok-Flushing Heights-Hillcrest
50	51	both	Asian Kabab and Curry	Asian Kabab and Curry Inc	Asian Kabab and Curry Inc	11208	496  Crescent Ave, Brooklyn, NY	50056793	yes	yes	no		no	no	yes	08/14/2020 06:06:00 PM			Not Available
51	52	both	Absurd Conclave	Absurd Conclave	absurd conclave	11237	360 Jefferson st., Brooklyn, NY	50105390	yes	yes	no		no	no	yes	08/21/2020 11:10:00 AM	3072391.0	3031760011.0	Bushwick North
52	53	both	Upi Jaya	Upi Yuliastuti Restaurant Inc	Upi Yuliastuti Restaurant Inc	11373	7604  Woodside Ave, Queens, NY	50070567	yes	yes	no		no	no	yes	08/14/2020 05:49:00 PM	4037782.0	4015220002.0	Elmhurst-Maspeth
53	54	roadway	DELI EL BIGOTES	DELI EL BIGOTE CORP	DELI EL BIGOTES	11226	3 EAST   31 STREET, Brooklyn, NY	41714411	no	yes	no		no	no	yes	08/25/2020 02:56:00 PM			Not Available
54	55	sidewalk	El Nuevo Carribeno	El Nuevo Carribeno Inc.	El Nuevo Carribeno Inc.	10029	1675 Lexington Avenue , Manhattan, NY	50073215	yes	no	yes	OP	yes	yes	yes	06/24/2020 04:02:00 PM	1051992.0	1016330019.0	East Harlem South
55	56	sidewalk	MARIA ON THE GRILL INC	MARIA ON THE GRILL INC	MARIA ON THE GRILL	11208	2678 PITKIN AVENUE, Brooklyn, NY	50103256	yes	no	no		no	no	yes	08/17/2020 11:14:00 AM	3095036.0	3042310014.0	East New York
56	57	both	Le Pain Quotidien First Ave and 68th	APQ First Avenue NY, LLC	Le Pain Quotidien	10065	1270  First Ave, Manhattan, NY	50105500	yes	yes	no		no	no	yes	08/17/2020 10:04:00 AM	1045574.0	1014630003.0	Lenox Hill-Roosevelt Island
57	58	sidewalk	KEUR COUMBA RESTAURANT	KEUR COUMBA RESTAURANT INC	KEUR COUMBA RESTAURANT	10026	125 WEST  116 STREET, Manhattan, NY	41639194	yes	no	no		no	no	yes	08/25/2020 12:44:00 PM			Not Available
58	59	both	Le Pain Quotidien - Bryant Park	APQ Bryant Park NY LLC	Le Pain Quotidien	10018	70 West 40th Street, Manhattan, NY	50105465	yes	yes	no		no	no	yes	08/17/2020 09:09:00 AM	1016059.0	1008410085.0	Midtown-Midtown South
59	60	roadway	JUYOU LOU	NY HAPPY FAMILY  INC	JUYOU LOU	11354	135-29 40 ROAD, Queens, NY	50098186	no	yes	no		no	no	yes	08/26/2020 11:18:00 AM			Not Available
60	61	both	Le Pain Quotidien 83rd Street	APQ 1592 First Avenue NY, LLC	Le Pain Quotidien	10028	1592 First Avenue, Manhattan, NY	50105476	yes	yes	no		no	no	yes	08/17/2020 09:15:00 AM	1050443.0	1015620045.0	Yorkville
61	62	both	Kitsby Dessert Bar	Kitsby Cafe Inc	Kitsby Cafe Inc	11211	186 Grand Street, Brooklyn, NY	50090446	yes	yes	no		no	no	yes	08/16/2020 01:08:00 PM	3395392.0	3023937501.0	North Side-South Side
62	63	sidewalk	E & S SWEET BITES INC	E & S SWEET BITES INC	E & S SWEET BITES INC	10462	675 Morris Park Ave, Bronx, NY	50104499	yes	no	no		no	no	yes	08/20/2020 08:23:00 PM	2043448.0	2040490006.0	Van Nest-Morris Park-Westchester Square
63	64	sidewalk	KEUR COUMBA RESTAURANT	KEUR COUMBA RESTAURANT INC	KEUR COUMBA RESTAURANT	10026	125 WEST  116 STREET, Manhattan, NY	41639194	yes	no	no		no	no	yes	08/25/2020 01:09:00 PM			Not Available
64	65	both	SPICE UP	BROTHERS USA INC	SPICE UP	10472	1926D CROSS BRONX EXPY, Bronx, NY	50103115	yes	yes	no		no	no	yes	08/14/2020 12:45:00 PM	2025966.0	2037940127.0	Soundview-Bruckner
65	66	sidewalk	I AM THAI EXPRESS	B &amp; R EATERY INC	I AM THAI EXPRESS	11377	4908 43RD AVE, Queens, NY	50069669	yes	no	no		no	no	yes	08/25/2020 10:09:00 PM			Not Available
66	67	sidewalk	Marco Polo Pizza & Deli	Walter 8281 Corp.	Marco Polo Pizza & Deli	10128	1289 Madison Avenue, Manhattan, NY	50105235	yes	no	no		no	no	yes	08/14/2020 01:47:00 PM	1047034.0	1015030053.0	Upper East Side-Carnegie Hill
67	68	both	Tel Aviv Cafe	HUKA TEL AVIV CORP	HUKA TEL AVIV CORP	11230	1911    CONEY ISLAND AVE, Brooklyn, NY	41250217	yes	yes	no		no	no	yes	08/14/2020 10:17:00 PM	3181685.0	3067580064.0	Midwood
68	69	both	Healthy Joe's	MMG Tribeca NY Inc.	Healthy Joe's	10007	10 Murray street, Manhattan, NY	50056330	yes	yes	no		no	no	yes	08/17/2020 10:14:00 AM	1001399.0	1001240004.0	SoHo-TriBeCa-Civic Center-Little Italy
69	70	both	Sweet Moment	Oh Sweet Momnet INC.	Oh Sweet Momnet INC.	10013	106 Mott Street, Manhattan, NY	50061236	yes	yes	no		no	no	yes	08/20/2020 01:59:00 PM	1087278.0	1002047501.0	SoHo-TriBeCa-Civic Center-Little Italy
70	71	sidewalk	PICK A BAGEL	1475 Second Avenue Bagel LLC	Pick A Bagel	10075	1475 Second Avenue , Manhattan, NY	41422914	yes	no	no		no	no	yes	08/20/2020 06:30:00 PM	1080480.0	1014310026.0	Lenox Hill-Roosevelt Island
71	72	roadway	Zucker's Bagels Flatiron	Zucker's Flatiron LLC	Zucker's Bagels Flatiron	10010	40 East 23rd street, Manhattan, NY	50078316	no	yes	no		no	no	yes	08/14/2020 12:22:00 PM	1016289.0	1008510049.0	Hudson Yards-Chelsea-Flatiron-Union Square
72	73	roadway	Bronx Ice Co	Bronx Ice Co.,, LLC	Bronx Ice Co.,, LLC	11222	1048 Manhattan ave, Brooklyn, NY	50105410	no	yes	no		no	no	yes	08/14/2020 05:14:00 PM	3063951.0	3025050002.0	Greenpoint
73	74	both	Annie Mooreï¿½s	Annie Mooreï¿½s LLC	Annie Mooreï¿½s bar & restaurant	10017	22 East 41st st, Manhattan, NY	50045177	yes	yes	yes	OP	no	no	yes	06/24/2020 08:54:00 PM	1035323.0	1012750060.0	Murray Hill-Kips Bay
74	75	both	GYRO KING	GYRO KING FOODS CORP	GYRO KING	10468	50 EAST FORDHAM RD, Bronx, NY	40596246	yes	yes	no		no	no	yes	08/16/2020 02:13:00 PM	2014027.0	2031840039.0	Fordham South
75	76	sidewalk	Talia's Restaurant Group LLC	Talia's Restaurant Group LLC	Talia's Steakhouse & Bar	10025	668 Amsterdam Avenue, Manhattan, NY	40978252	yes	no	yes	OP	no	no	yes	06/23/2020 01:10:00 AM	1033614.0	1012400036.0	Upper West Side
76	77	both	1927 Cafe Bar  Popularr	PETE JACOV	1927 Cafe Bar  Popularr	10026	19 SAINT NICHOLAS AVENUE, Manhattan, NY	50102717	yes	yes	no		no	no	yes	09/29/2020 10:51:00 AM			Not Available
77	78	sidewalk	SPIN	SPIN NYC LLC	SPIN	10010	48 East 23rd Street, Manhattan, NY	41420036	yes	no	no		no	no	yes	08/16/2020 01:17:00 PM	1016287.0	1008510041.0	Hudson Yards-Chelsea-Flatiron-Union Square
78	79	sidewalk	Qing Dao Restaurant	On & On 168 Inc.	On & On 168 Inc.	11354	40-46 Main Street, Queens, NY	50069376	yes	no	no		no	no	yes	08/16/2020 09:08:00 AM	4114146.0	4050370061.0	Flushing
79	80	both	Le Pain Quotidien Tribeca	APQ Tribeca NY, LLC	Le Pain Quotidien	10007	81 West Broadway, Manhattan, NY	50105603	yes	yes	no		no	no	yes	08/17/2020 09:32:00 AM	1001480.0	1001367503.0	SoHo-TriBeCa-Civic Center-Little Italy
80	81	sidewalk	Ample Hills Creamery	Ample Hills Sub 5 LLC	Ample Hills Creamery	11201	445 Gold St, Brooklyn, NY	50061469	yes	no	no		no	no	yes	08/17/2020 11:35:00 AM	3397861.0	3001497501.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
81	82	roadway	Annapurna Thakali Kitchen Inc	Annapurna Thakali Kitchen Inc	Annapurna Thakali Kitchen Inc	11372	72-24 Roosevelt Avenue, Queens, NY	50104019	no	yes	no		no	no	yes	08/14/2020 01:19:00 PM	4030419.0	4013040043.0	Elmhurst-Maspeth
82	83	both	Little Atlas	POW CAFE, INC	Little Atlas	10012	6 west 4th street, Manhattan, NY	41217779	yes	yes	no		yes	yes	yes	08/20/2020 11:39:00 AM	1008629.0	1005357501.0	West Village
83	84	sidewalk	NUM PANG KITCHEN	64 FOR 32 HOSPITALITY LLC	NUM PANG KITCHEN	10281	225 LIBERTY STREET, Manhattan, NY	50009624	yes	no	no		yes	yes	yes	08/21/2020 11:27:00 AM	1000058.0	1000160125.0	Battery Park City-Lower Manhattan
84	85	both	Momo Crave	Momo Crave LLC	Momo Crave LLC	11377	3807  69th Street Woodside, Queens, NY	50075766	yes	yes	no		no	no	yes	08/15/2020 01:14:00 PM			Not Available
85	86	both	Le Pain Quotidien 53rd street	APQ E53 NY, LLC	Le Pain Quotidien	10022	7 E 53rd St, Manhattan, NY	50105626	yes	yes	no		no	no	yes	08/17/2020 09:21:00 AM	1035739.0	1012890107.0	Midtown-Midtown South
86	87	both	Bilao Filipino Cuisine	Bilao INC	Bilao INC	10021	1437 1st Ave, Manhattan, NY	50105543	yes	yes	no		no	no	yes	08/17/2020 09:20:00 AM	1085185.0	1014490026.0	Lenox Hill-Roosevelt Island
87	88	sidewalk	Kame	Gen Kame Inc	Kame	10001	330 8th AVE, Manhattan, NY	50105280	yes	no	no		no	no	yes	08/14/2020 03:04:00 PM	1084996.0	1007760004.0	Midtown-Midtown South
88	89	both	NUM PANG KITCHEN	8192 FOR 4096 HOSPITALITY LLC	Num Pang Kitchen	10018	1407 BROADWAY, Manhattan, NY	50069905	yes	yes	no		no	no	yes	09/03/2020 01:36:00 PM			Not Available
89	90	sidewalk	Gregorys Coffee	649 Broadway Coffee and Bakery LLC	649 Broadway Coffee and Bakery LLC	10012	649 Broadway, Manhattan, NY	50053975	yes	no	no		no	no	yes	08/17/2020 08:16:00 AM	1077824.0	1005320020.0	West Village
90	91	roadway	Grab & Go Cafe	Grab & Go Cafe	Grab & Go Cafe	11214	475 60th Street, Brooklyn, NY	50105118	no	yes	no		no	no	yes	08/15/2020 11:16:00 AM	3016295.0	3008630048.0	Sunset Park West
91	92	both	ZAM ZAM GRILL	NYC EMPIRE FOOD &amp; BEVERAGE INC	ZAM ZAM GRILL	11372	7227 37TH AVE, Queens, NY	50105966	yes	yes	no		no	no	yes	09/28/2020 07:43:00 PM			Not Available
92	93	sidewalk	TASTY BAKERY	TASTY BAKERY INC	TASTY BAKERY	11220	4505 8 AVENUE, Brooklyn, NY	50100786	yes	no	no		no	no	yes	08/25/2020 06:48:00 PM			Not Available
93	94	both	The Dip	Minute Out Restaurant LLC	The Dip	10003	58 St. Marks Pl., Manhattan, NY	50097610	yes	yes	no		no	no	yes	08/15/2020 05:17:00 PM	1006324.0	1004490018.0	East Village
94	95	both	GOLDEN RING	GOLDEN RING INC	GOLDEN RING	11211	595 BEDFORD AVENUE, Brooklyn, NY	41327047	yes	yes	no		no	no	yes	08/25/2020 02:07:00 PM			Not Available
95	96	both	PURPLE DOUGH	PURPLE OVEN LLC	PURPLE DOUGH	11377	3805 69TH ST, Queens, NY	50078455	yes	yes	no		no	no	yes	08/25/2020 01:53:00 PM			Not Available
96	97	both	Xi'an Famous Foods	Bei Yuan Men LLC	Xi'an Famous Foods	11201	54 Willoughby, Brooklyn, NY	50100280	yes	yes	no		no	no	yes	07/17/2020 04:58:00 PM			Not Available
97	98	sidewalk	SUBWAY	FRESH SUBWAY 168 INC	Fresh Sub 168 Inc	11365	18524A HORACE HARDING EXPY, Queens, NY	50053455	yes	no	no		no	no	yes	08/25/2020 08:46:00 PM			Not Available
98	99	both	Corporate Chef	Foodbridge LLC	Printon 56	10019	50 West 56th Street, Manhattan, NY	40943754	yes	yes	no		no	no	yes	08/17/2020 11:57:00 AM			Not Available
99	100	roadway	CHINESE RESTAURANT	TASTE GOOD PLACE INC	CHINESE RESTAURANT	11355	4626 KISSENA BLVD, Queens, NY	50059253	no	yes	no		no	no	yes	08/25/2020 04:14:00 PM			Not Available
100	101	sidewalk	KITH TREATS	KITH TREATS LLC	KITH TREATS	11217	233 FLATBUSH AVENUE, Brooklyn, NY	50058123	yes	no	no		no	no	yes	09/30/2020 02:48:00 PM			Not Available
101	102	roadway	TASTE OF LAHORE	TASTE OF LAHORE INC.	TASTE OF LAHORE	11372	7310 NORTHERN BOULEVARD, Queens, NY	41700337	no	yes	no		no	no	yes	08/25/2020 04:48:00 PM			Not Available
102	103	both	ALADDIN HOOKAH LOUNGE	HAMIZ LAMIZ ANIS CORP.	ALADDIN HOOKAH LOUNGE	11103	25-57 STEINWAY STREET, Queens, NY	50002191	yes	yes	no		no	no	yes	08/25/2020 04:35:00 PM			Not Available
103	104	sidewalk	CHOLULA DELI GROCERY	CHOLULA DELI GROCERY CORP.	CHOLULA DELI GROCERY	11237	222 WYCKOFF AVENUE, Brooklyn, NY	41239887	yes	no	no		yes	yes	yes	08/25/2020 12:00:00 PM			Not Available
104	105	both	LE PAIN QUOTIDIEN	APQ SOUTH END AVENUE NY, LLC	LE PAIN QUOTIDIEN	10280	395 SOUTH END AVENUE, Manhattan, NY	50105560	yes	yes	no		no	no	yes	09/07/2020 07:05:00 PM			Not Available
105	106	both	KARIZMA LOUNGE CORP	KARIZMA LOUNGE CORP	KARIZMA LOUNGE CORP	10002	244 EAST 51 STREET, Manhattan, NY	41636886	yes	yes	yes	OP	no	no	yes	06/22/2020 05:55:00 PM	1038462.0	1013240131.0	Turtle Bay-East Midtown
106	107	both	BLVD 93 NYC	BLVD 93 NYC INC	BLVD 93 NYC	11374	6118 93RD ST, Queens, NY	50105866	yes	yes	no		no	no	yes	11/13/2020 03:21:00 PM			Not Available
107	108	both	LE PAIN QUOTIDIEN	APQ 10 FIFTH AVENUE NY, LLC	LE PAIN QUOTIDIEN	10011	10 5 AVENUE, Manhattan, NY	50105720	yes	yes	no		yes	yes	yes	09/07/2020 07:09:00 PM			Not Available
108	109	sidewalk	NORTHERN WANGMANDOO DUMPLING	NORTHERN WANGMANDOO INC	northern wangmandoo inc	11354	14944 NORTHERN BLVD, Queens, NY	50074305	yes	no	no		yes	yes	yes	09/07/2020 11:11:00 PM			Not Available
109	110	both	Olympia Wine Bar	54 Jay Street Partners LLC	Olympia Wine Bar	11201	54 Jay Street, Brooklyn, NY	41711468	yes	yes	yes	OP	yes	yes	yes	06/20/2020 10:36:00 AM	3000032.0	3000300019.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
110	111	both	LA JACARANDA	LA JACARANDA LLC	LA JACARANDA	10012	354 BOWERY, Manhattan, NY	50105541	yes	yes	no		yes	yes	yes	09/03/2020 02:07:00 PM			Not Available
111	112	both	Taszo	Taszo Coffee LLC	Taszo	10032	5 Edward M Morgan Place, Manhattan, NY	50000150	yes	yes	yes	OP	no	no	yes	06/22/2020 12:27:00 PM	1076745.0	1021340180.0	Washington Heights South
