	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
3728	7071246	HUDSON CADILLAC     	BUICK GMC           	2023 SOUTH RD RT 9  	HUDSON PONTIAC BUICK	GMC TRUCK           	RS 	07/10/1995	05/06/2019	06/30/2021
3729	7065420	HUDSON RIVER TRUCK  	EQUIPMENT INC       	12 COMMERCE ST EXT  	MATT MANERI         	                    	RS 	08/24/1999	10/30/2019	12/31/2021
3730	7125102	HUDSON VALLEY       	RACEWAY INC         	55 E DORSEY LANE    	JAMES F WILLIAMS    	                    	RS 	01/30/2019		12/31/2020
3731	3140500	HUDSON VIEW AUTO    	BODY INC            	1 OAKDALE AV        	RONALD HUMMEL       	                    	RSB	05/03/1979	10/08/2019	11/30/2021
3732	7084450	INNIS AVENUE AUTO   	REPAIR INC          	252 INNIS AV        	KENNETH PEDERSEN    	                    	RS 	04/23/1999	03/26/2019	03/31/2021
3733	7046137	JACKS AUTO BODY     	                    	26 ABES WAY         	JACKS AUTO OF       	DUTCHESS INC        	RSB	08/01/2013	05/10/2017	07/31/2019
3734	7117936	J&J AUTOMOTIVE      	REPAIR LLC          	8 COMMERCE STREET   	JASON A CATAVERO    	                    	RS 	06/13/2014	04/24/2020	05/31/2022
3735	7123887	JJ TRANSMISSION     	CORPORATION         	45 BEMENT AVE       	JORGE OCHOA         	                    	RS 	07/19/2018	05/01/2020	06/30/2022
3736	7049473	JOE QUES AUTO BODY  	INC                 	21 OLYMPIC WAY      	JOSEPH QUINTONI     	                    	RSB	10/13/1989	07/30/2019	09/30/2021
3737	3140651	KARLS SERVICE INC   	IN THE ESTATE OF    	5 NEPTUNE RD        	CHARLES SZUTS       	                    	RS 	09/25/1980	09/06/2018	08/31/2020
3738	7124476	LEGENDARY AUTO GLASS	                    	321 TITUSVILLE RD U8	CASEY L KING        	                    	RS 	08/30/2018		07/31/2020
3739	7072121	LEROYS AUTO REPAIR &	SALES INC           	374-378 MILL ST     	LEROY MCLEAN        	                    	RS 	08/21/1996	08/16/2019	08/31/2021
3740	7040322	LESTERS AUTO SALES &	TOWING              	56 PERSHING AV      	LESTER RUNZA        	                    	RS 	07/10/1998	06/26/2019	07/31/2021
3741	7126210	LEVELUP AUTO LLC    	                    	598 MAIN STREET     	DASH C JUAVON       	                    	RS 	10/04/2019		09/30/2021
3742	7119487	LOMOTION AUTO LLC   	                    	224 OVEROCKER RD    	ANNE M DINIO        	                    	RS 	05/19/2015	04/23/2019	04/30/2021
3743	7022228	LOPEZ AUTOMOTIVE    	CORP                	36 NOXON RD         	LUIS A LOPEZ JR     	                    	RS 	12/13/2000	07/27/2017	07/31/2019
3744	7091226	MAINLY BENZ SERVICE 	                    	17 INDUSTRY STREET  	JOSEPH C MEIER      	                    	RS 	11/29/2001	09/30/2019	10/31/2021
3745	7127383	MARKS CUSTOM AUTO   	                    	188 COTTAGE ST      	MARK J WINKLER      	                    	RSB	09/23/2020		08/31/2022
3746	7111239	MAVIS DISCOUNT TIRE 	                    	680 FREEDM PLAINS RD	MAVIS TIRE SUPPLY   	LLC                 	RS 	11/08/2010	10/23/2020	10/31/2022
3747	7113875	MAVIS DISCOUNT TIRE 	                    	33 PARKER AVENUE    	MAVIS TIRE SUPPLY   	LLC                 	RS 	04/10/2012	04/01/2020	03/31/2022
3748	7069306	MAVIS DISCOUNT TIRE 	                    	619 DUTCHESS TPKE   	SOMERSET TIRE       	SERVICE INC         	RS 	01/06/1995	12/21/2018	12/31/2020
3749	7061176	MAVIS DISCOUNT TIRE 	                    	2585 SOUTH RD       	MAVIS TIRE SUPPLY   	LLC                 	RS 	11/23/1992	10/14/2020	10/31/2022
3750	7108559	MAZDA OF            	POUGHKEEPSIE        	2309 SOUTH ROAD     	RW AUTOS LLC        	                    	RS 	06/29/2009	05/23/2017	05/31/2019
3751	7085326	METRO RADIATOR A/C &	AUTO REPAIR         	766 MAIN ST         	DONALD R STEPHENSON 	JR                  	RS 	07/27/1999	06/26/2015	06/30/2017
3752	7078698	MIKES AUTO CENTER   	INC                 	3638 ALBANY POST RD 	MIKE NESHEIWAT      	                    	RS 	06/25/1997	05/13/2019	05/31/2021
3753	3140579	MONRO MUFFLER BRAKE 	                    	350 MILL ST         	MONRO INC           	                    	RS 	06/05/1981	05/29/2019	05/31/2021
3754	7123284	MYSTIQUE AUTOMOTIVE 	INC                 	257 TITUSVILLE ROAD 	ANTHONY GARCIA      	                    	RS 	11/30/2017	09/27/2019	10/31/2021
3755	7110452	NEW COUNTRY         	COLLISION CENTER INC	7 HATFIELD LANE     	ROBERT W AARON      	                    	RSB	06/11/2010	04/24/2020	05/31/2022
3756	7110137	NEW HACKENSACK AUTO&	TIRE                	44 NOXON ROAD       	GENCO AUTO INC      	                    	RS 	04/15/2010	03/10/2020	03/31/2022
3757	3140200	NEW YORK AUTO       	REPAIR & ALGNMNT INC	80 MONTGOMERY ST    	SHANE H BROCKSOPP   	                    	RS 	05/22/1981	04/24/2019	05/31/2021
3758	7103309	NORMS AUTO REPAIR   	INC                 	220 HOOKER AVE      	NORMAN V DENNIS     	                    	RS 	01/25/2007	11/29/2018	12/31/2020
3759	7107259	NORTHEASTERN TRUCK& 	TRAILER INC         	10 INDUSTRY STREET  	CLAUDINE TRIGLIA    	                    	RSB	11/21/2008	10/25/2018	10/31/2020
3760	7112594	NORTH ROAD AUTO     	                    	17 MARIST DRIVE     	CAAR SHOP INC THE   	                    	RS 	08/08/2011	06/19/2019	07/31/2021
3761	3140263	NORTH SIDE AUTO     	REPAIR INC          	117-119 PARKER AVE  	JAMES RIGOLINO      	                    	RSB	05/28/1981	04/20/2015	05/31/2017
3762	7122103	NORTHSIDE AUTOBODY  	INC                 	119 PARKER AVE      	ANTHONY BONVENTRE   	                    	RS 	03/16/2017	02/15/2019	02/28/2021
3763	7084246	OAXACA AUTO REPAIR  	                    	152 SOUTH AVE       	ALFREDO M OLMEDO    	                    	RS 	05/05/1999	04/02/2019	04/30/2021
3764	7065748	PAULS MOTOR INC     	                    	4-6 FAIRVIEW AV     	DANIEL L SCAGNELLI  	                    	RS 	03/04/1994	02/10/2020	02/28/2022
3765	7032295	PHILS AUTO REPAIR   	SHOP                	381 VIOLET AVE      	PHILIP MATHEW       	SLAKOPER            	RS 	07/20/1994	06/25/2020	06/30/2022
3766	7117283	PRECISION AUTOMOTIVE	OF LAGRANGE INC     	472FREEDOM PLAINS RD	JON OBRIZOK         	                    	RS 	01/29/2014	11/07/2019	12/31/2021
3767	7029589	PRESTIGE AUTOMOTIVE 	                    	2 VASSAR RD         	LAWRENCE F SHEEHAN  	ENTERPRISES INC     	RS 	01/10/1992	12/17/2019	12/31/2021
3768	7053028	PROBILT AUTOMATIC   	TRANSMISSIONS INC   	2490 SOUTH RD       	DEAN PORCELLI       	                    	RS 	10/26/1998	08/12/2020	09/30/2022
3769	7113762	QB COLLISION INC    	                    	487 HAIGHT AVENUE   	PERRY S GUSIKOFF    	                    	RSB	03/23/2012	01/26/2018	02/28/2020
3770	7118600	QUALITY COLLISION   	                    	24 SOUTH BRIDGE ST  	DONALD L SCHECHTER  	                    	RS 	10/27/2014	10/05/2020	09/30/2022
3771	7102490	RAYS AUTO BODY LLC  	                    	41 SMITH ST         	RAYMOND LIKAR       	                    	RSB	08/31/2006	07/27/2020	07/31/2022
3772	7120030	RC AUTO & TIRE      	CENTER CORP         	801 MAIN STREET     	ROBERT J RICCI      	                    	RS 	09/24/2015	08/05/2019	08/31/2021
3773	7002704	REDLS PARKWAY AUTO  	PARTS INC           	2 SEDGEWICK RD      	MARK S REDL         	                    	RS 	03/23/1983	01/14/2020	01/31/2022
3774	7115829	RESTORATION & PARTS 	CORP                	150 NOXON ROAD      	ELSA MAUER          	                    	RS 	04/29/2013	02/07/2019	03/31/2021
3775	7098638	RG AUTOBODY INC     	                    	56 NOXON RD         	RONALD A GERARDI    	                    	RSB	11/22/2004	09/17/2020	10/31/2022
3776	7096616	RIO AUTO BODY       	                    	408 MAPLE ST        	PHILIP E MCCAIN     	                    	RS 	02/18/2004	12/08/2019	01/31/2022
3777	7113567	RITE STOP GAS & FOOD	MART INC            	531 MAIN STREET     	YOUSEF JAMAL        	                    	RS 	02/08/2012	12/31/2013	01/31/2016
3778	7118362	RIVERSIDE AUTO PARK 	INC                 	3665 ALBANY POST RD 	CHRISTOPHER J DEVENS	                    	RS 	09/04/2014		08/31/2016
3779	7037000	ROBS PRESTIGE AUTO  	BODY INC            	729 DUTCHESS TPKE   	ROBERT F ZAHURAK    	                    	RSB	11/20/1986	10/03/2020	10/31/2022
3780	7115830	ROLLING RUBBER      	RESOURCES           	766 MAIN STREET     	KENNETH T MCKAY     	                    	RS 	04/29/2013		03/31/2015
3781	7122641	ROUTE 9 MAZDA       	                    	2309 SOUTH RD       	L AND J AUTO SALES  	LLC                 	RS 	08/14/2017	06/06/2019	07/31/2021
3782	7104974	RS AUTOMOTIVE CORP  	                    	248 HOOKER AVE      	PAUL J DITULLO      	                    	RS 	10/18/2007	08/08/2019	09/30/2021
3783	7069865	SABIA AUTO EXCHANGE 	                    	585 MAIN ST         	JAMES A SABIA JR    	                    	RS 	03/07/1995	02/11/2019	02/28/2021
3784	7098363	SAFELITE AUTO GLASS 	868                 	486 SOUTH RD RT9    	SAFELITE FULFILLMENT	INC                 	RS 	10/14/2004	11/10/2014	09/30/2016
3785	7096853	SAFES AUTOMOTIVE    	REPAIRS INC         	685 DUTCHESS TPKE   	SAFE ALMAKHAMREH    	                    	RS 	03/23/2004	01/24/2014	02/28/2016
3786	7116996	SALS AUTO DIAGNOSTC&	SALES INC           	114 MILL STREET     	JOE ALHEJAZIEN      	                    	RS 	12/06/2013	10/11/2019	11/30/2021
3787	7007051	SALS AUTO SERVICE   	                    	816 MAIN ST         	SALVATORE MOSCHETTO 	                    	RS 	09/21/1982	08/25/2014	08/31/2016
3788	7108595	SALS REPAIR SHOP INC	                    	114 MILL STREET     	SAL N ALHEJAZIEN    	                    	RS 	07/03/2009	04/12/2013	06/30/2015
3789	3140325	SCHMALING GLASS INC 	                    	285 VIOLET AVE      	KARL SCHMALING      	                    	RS 	02/24/1988	11/18/2019	01/31/2022
3790	7125810	SEARS AUTO CENTER   	                    	792 SOUTH ROAD      	TRANSFORM SR LLC    	                    	RS 	07/02/2019		06/30/2021
3791	3140108	SEARS ROEBUCK & CO  	                    	792 SOUTH RD        	SEARS ROEBUCK & CO  	                    	RS 	05/20/1981	03/26/2019	05/31/2021
3792	7090973	SEIFS AUTO REPAIR   	                    	POB108 150 PARKER AV	SEIF QAISH ETAL     	                    	RS 	10/18/2001	10/04/2019	09/30/2021
3793	7117471	SHRODERS COMPLETE   	AUTO CARE           	2 TAYLOR AVE        	JAMES JOYCE INC     	                    	RS 	03/12/2014	02/07/2020	02/28/2022
3794	7118026	S&S AUTOMOTIVE &    	REPAIR              	45 BEMENT AVENUE    	RUNDA NESHEIWAT     	ET AL               	RS 	06/30/2014	06/08/2018	05/31/2020
3795	7100883	STALLION AUTOMOTIVE 	INC                 	3 INDUSTRY ST       	JOSEPH NARDI JR     	                    	RS 	03/03/2006	05/17/2018	02/28/2020
3796	7107713	STEVE BS AUTO REPAIR	                    	6 SPRING SIDE AVENUE	STEPHEN BASTIAN     	                    	RS 	02/10/2009	12/12/2018	01/31/2021
3797	7105186	STOFAS AUTO SERVICE 	LLC                 	308 HOOKER AVENUE   	JOHN C STOFA        	                    	RS 	12/05/2007	11/14/2019	11/30/2021
3798	7120224	STOFAS COLLISION INC	                    	6 N CLINTON STREET  	JOHN C STOFA        	                    	RSB	11/12/2015	09/19/2019	10/31/2021
3799	7096486	SWEDISH MOTORS      	                    	43 EAST DORSEY LANE 	SWEDISH MOTORS      	SPCIALZD SERVICE INC	RS 	01/26/2004	10/22/2019	12/31/2021
3800	3140611	T&D AUTO SERVICE INC	                    	158 PARKER AV       	THOMAS J DALBO JR   	                    	RS 	12/26/1979	11/22/2019	11/30/2021
3801	7117921	TIA DIAGNOSTIC &    	REPAIR SHOP INC     	685 DUTCHESS TPKE   	SAFE ALMAKHAMREH    	                    	RS 	06/11/2014	04/24/2020	05/31/2022
3802	7120484	TOWN AUTOMOTIVE CORP	                    	816 MAIN STREET     	PERRY S GUSIKOFF    	                    	RS 	01/19/2016	01/03/2020	12/31/2021
3803	7060769	TRAILER KING INC    	                    	18 MANCHESTER CICLE 	STEVEN J DOLCE      	                    	RS 	12/08/1997	09/18/2020	10/31/2022
3804	7062984	TRANSTEK            	TRANSMISSION CORP   	3660 ALBANY POST RD 	ROBERT BRUNO        	                    	RS 	05/11/1993	04/25/2019	04/30/2021
3805	7105490	TRI STATE RECOVERY& 	REPAIR LLC          	402 NORTH ROAD      	MUNEER E NESHEIWAT  	                    	RS 	02/05/2008	12/02/2013	01/31/2016
3806	7113017	TS AUTO REPAIR      	                    	380 MILL STREET     	RAUL A PEREZ        	                    	RS 	10/21/2011	09/14/2015	09/30/2017
3807	7083736	ULTIMATE TIRE SHOP  	LTD THE             	582 MAIN ST         	NICHOLAS S JOHNSON  	JR                  	RS 	02/24/1999	01/18/2019	01/31/2021
3808	7094703	VALLEY AUTO REPAIR  	CENTER INC          	420 MAPLE ST        	FRANK W HALLENBECK  	                    	RS 	05/01/2003	04/03/2019	04/30/2021
3809	7092052	VALVOLINE INSTANT   	OIL CHANGE          	657 DUTCHESS TPK    	GALENA ASSOCIATES   	LLC                 	RS 	03/25/2002	02/07/2020	02/28/2022
3810	3140442	VICS GARAGE INC     	                    	798 DUTCHES TPK REAR	LAGEN C JOSE        	                    	RS 	05/11/1981	04/05/2013	05/31/2015
3811	7034149	VINCES AUTO BODY    	WORKS               	185 SMITH ST        	LOMORIELLO MOTORS   	INC                 	RSB	04/14/1986	03/03/2020	03/31/2022
3812	7076651	WHEELS R US INC     	                    	1834 ROUTE 376      	STEPHEN HOARE       	                    	RS 	07/15/2009	10/16/2020	11/30/2022
3813	7102604	WILLIAM AUTO SERVICE	CENTER CORP         	39 THOMPSON ST      	JOSE VALDEZ         	                    	RS 	09/25/2006	09/16/2020	08/31/2022
3814	7124616	B & T EUROPEAN      	MOTORS INC          	2523 RT 55          	THERESA M JOHNSON   	                    	RS 	09/28/2018	08/03/2020	08/31/2022
3815	7039874	EDWARD DAVIS LTD    	                    	POBX 718 2509 RT55  	EDWARD R DAVIS      	                    	RS 	07/14/1987	06/26/2019	06/30/2021
3816	7109494	GREENS AUTOMOTIVE   	INC                 	300 BEEKMAN PGHQG RD	ARTHUR W GREEN      	                    	RS 	12/24/2009	10/11/2019	11/30/2021
3817	7087068	GREENS AUTO REPAIR  	INC                 	PB757 300 BKMNPGHQG 	BRIAN K GREEN       	                    	RS 	04/06/2000	03/09/2020	03/31/2022
3818	7116342	JANOS FOREIGN CAR   	REPAIR LLC          	641 ROUTE 216       	MICHAEL J JANOS     	                    	RS 	07/24/2013	06/11/2019	06/30/2021
3819	3140339	MICHAEL BOGART & SON	INC                 	725 RT 216          	SEAN M BOGART       	                    	RS 	04/30/1981	05/01/2019	05/31/2021
3820	7115542	SPEIDELL SUPERCARS  	AND AUTO REPAIR LLC 	2636 ROUTE 55       	JAMES L SPEIDELL II 	                    	RS 	02/21/2013	12/06/2018	01/31/2021
3821	7086104	TERRIS EUROPEAN     	MOTORS INC          	2523 RT 55          	THERESA A RIVERA    	                    	RS 	11/12/1999	08/15/2017	10/31/2019
3822	7112544	BAYLISS AUTOMOTIVE  	LLC                 	7309 SOUTH BROADWAY 	DAVID T BAYLISS     	                    	RS 	08/01/2011	07/30/2013	07/31/2015
3823	7027518	BERRYANNS GARAGE    	                    	76 EAST MARKET ST   	JAMES T BERRYMAN    	                    	RS 	09/25/1984	08/31/2016	08/31/2018
3824	7028625	CLASSIC AUTO BODY   	                    	8300 RT 9           	JOHN LJUTICH        	                    	RSB	07/27/1988	06/08/2020	06/30/2022
3825	3140487	HAPPY DAYS BODY &   	PAINT               	64 E MARKET ST      	CARROLL A HOUGHTON  	                    	RSB	10/12/1979	10/31/2019	10/31/2021
3826	7119121	JUNIORS DIESEL      	REPAIR INC          	15 NICHOLAS WAY     	ROBERT E STAPF      	                    	RS 	01/11/2016	10/23/2019	12/31/2021
3827	7058097	RED HOOK AUTO INC   	                    	151 RTE 199         	PETER SCIBELLI      	                    	RS 	02/27/1992	11/20/2019	01/31/2022
3828	7099227	STEVES AUTOMOTIVE & 	WELDING INC         	19 OLD FARM RD      	STEPHEN D HOFFMAN   	                    	RS 	03/24/2005	01/31/2019	02/28/2021
3829	7048432	TIM HART AUTO       	RECOVERY INC        	308 WEST MARKET ST  	TIMOTHY P HART      	                    	RSB	04/02/2002	03/24/2020	03/31/2022
3830	7003623	TOMS AUTO COLLISION 	                    	940 RT 199          	THOMAS MICHAEL DWYER	                    	RSB	12/16/1981	10/30/2019	11/30/2021
3831	3140559	TOMS GARAGE         	                    	7362 SO BROADWAY    	TOMS GARAGE INC     	                    	RS 	10/29/1980	09/18/2020	10/31/2022
3832	7121216	TRIANGLE POWER      	SERVICE INC         	3 E MARKET ST APT2-5	DAVID C SOLANO      	                    	RS 	07/08/2016	07/12/2018	06/30/2020
3833	3140142	TRIEBELS GARAGE INC 	                    	7317 SO BROADWAY RT9	DONALD F TRIEBEL    	                    	RS 	05/20/1981	03/11/2019	05/31/2021
3834	3140143	VINS AUTO SERV      	                    	68 EAST MARKET ST   	VINCENT S ZITZ      	                    	RS 	05/15/1981	05/09/2019	05/31/2021
3835	7094264	WEST SIDE AUTO      	                    	308 WEST MARKET ST  	STEVEN W LOWN       	                    	RS 	02/26/2003	12/06/2018	01/31/2021
3836	7112288	WESTSIDE AUTO AND   	TOWING LLC          	3 ST JOHN STREET    	STEVEN W LOWN       	                    	RS 	06/23/2011	04/05/2013	05/31/2015
3837	7116352	AUTOMOTIVE VILLAGE  	                    	3 ST JOHN STREET    	JOSEPH BOCCIA       	                    	RS 	07/29/2013	05/21/2019	06/30/2021
3838	7097649	TCH TOWING          	                    	8300 RTE 9          	JOHN HERMANCE       	                    	RS 	07/02/2004	07/10/2014	06/30/2016
3839	7089113	J&J AUTOMOTIVE INC  	                    	6787 RT 9           	JOANNE L PICKLES    	                    	RS 	01/11/2001	11/06/2018	12/31/2020
3840	7072510	MAVIS DISCOUNT TIRE 	                    	6773 ROUTE 9        	JPJ SERVICES INC    	                    	RS 	10/23/1995	08/22/2019	09/30/2021
3841	7028730	MID VALLEY REPAIR   	SERVICE             	458 SLATE QUARRY RD 	ANASTAS P GACHES    	                    	RS 	01/23/1985	11/29/2018	12/31/2020
3842	7006258	M&M AUTOMOTIVE OF   	RHINEBECK LTD       	6244 RTE 9          	MARK VAN DE CARR    	                    	RS 	06/16/1982	04/24/2020	05/31/2022
3843	7068275	MONRO MUFFLER BRAKE 	                    	6821 RT 9           	MONRO INC           	                    	RS 	09/19/1994	08/31/2020	08/31/2022
3844	7082656	RHINEBECK FORD INC  	                    	3667 RTE 9G         	JACK NASI           	                    	RS 	09/30/1998	08/17/2020	08/31/2022
3845	3140174	RIKERTS AUTO BODY   	INC                 	6847 ROUTE 9        	JOHN W RIKERT       	                    	RSB	05/20/1981	05/14/2019	05/31/2021
3846	7079223	RUGES CHRYSLER DODGE	JEEP                	6882 RT 9           	RUGES AUTOMOTIVE INC	                    	RS 	08/20/1997	06/17/2019	07/31/2021
3847	7126111	RUGES SUBARU        	                    	6787 RT 9           	RUGES AUTOMOTIVE INC	                    	RS 	09/11/2019		08/31/2021
3848	3140120	RUGES SUBARU        	                    	6444 MONTGOMERY ST  	RUGES AUTOMOTIVE INC	                    	RS 	05/15/1981	04/26/2019	05/31/2021
3849	7064119	MURPHYS AUTO CENTER 	INC                 	60 SCOUT ROAD       	PAMELA F MURPHYS    	                    	RS 	08/26/1993	06/06/2019	07/31/2021
3850	7096778	RIGHT ON POINT      	AUTOMOTIVE          	PBX216 39 COTTAGE ST	PAUL R TEAL         	                    	RS 	03/12/2004	01/28/2020	02/28/2022
3851	3140215	SALT POINT AUTO     	SALES               	116 SCOUT RD        	SALT POINT AUTO     	SALES INC           	RSB	05/28/1981	04/05/2017	05/31/2019
3852	7110958	STERLING COACH AND  	MOTORWORKS          	2480 ROUTE 44 STE B 	KEVIN SCOTT FEENEY  	                    	RS 	09/14/2010	09/01/2020	08/31/2022
3853	7047304	MATTS AUTO BODY INC 	                    	1930 SALT POINT TPKE	ROBERT W BECKMANN   	                    	RSB	03/29/1989	01/25/2019	02/28/2021
3854	7096107	JOHN AUTO REBUILDERS	                    	114 RESERVOIR RD    	JOHN ATHANAS        	                    	RS 	11/13/2003	10/22/2015	10/31/2017
3855	7119115	MANCI MOTORS LLC    	                    	4960 ROUTE 9        	RONNI L MANCINELLI  	                    	RS 	06/19/2015		02/28/2017
3856	3140606	STAATSBURG AUTO     	                    	RT9                 	ROBERT J DELARM     	                    	RS 	11/19/1979	09/30/2019	10/31/2021
3857	7123846	SKIDMORE AUTOMOTIVE 	INC                 	6092 ROUTE 82       	SEAN M SAMBELLS     	                    	RS 	05/01/2018	03/17/2020	04/30/2022
3858	7095715	JOHNNYS AUTO REPAIR 	                    	207 HAIGHT HILL ROAD	JOHN W MURPHY       	                    	RS 	09/19/2003	08/12/2019	08/31/2021
3859	7056165	L&S AUTO            	                    	6257 RT 82          	L&S USED AUTO PARTS 	INC                 	RS 	05/21/2018	06/10/2019	07/31/2021
3860	7111994	STROLLOS GARAGE     	                    	207 HAIGHT HILL ROAD	RONALD J STROLLO    	                    	RS 	04/27/2011	03/21/2017	03/31/2019
3861	3140150	RALPHS AUTO SERVICE 	INC                 	5135 RT 9G          	RALPH TORCHIA       	                    	RS 	06/01/1979	05/06/2019	05/31/2021
3862	7082780	BUD HITSMAN GARAGE  	INC                 	POBX13 3389 RTE 82  	LISETTE HITSMAN     	                    	RS 	10/02/1998	10/01/2014	09/30/2016
3863	7043074	QUALITY AUTO        	                    	3056 RT 82          	JAMES ROBERT        	INTRIERI            	RS 	04/07/1988	03/13/2020	03/31/2022
3864	7077951	MARTYS AUTOMOTIVE   	                    	86 OLD HOPEWELL ROAD	MARTIN B NOVICK JR  	                    	RS 	10/12/2011	10/02/2019	09/30/2021
3865	7114765	WRECK A MENDED      	COLLISION  LLC      	783 OLD ROUTE 9     	VINCENT CERVONE JR  	                    	RSB	09/18/2012	06/22/2020	08/31/2022
3866	7110315	CJ AUTO LLC         	                    	4 COMMERCE CT UNIT 4	CIRO G LIPPOLIS     	                    	RS 	05/18/2010	04/06/2020	04/30/2022
3867	7098457	MONRO MUFFLER BRAKE 	                    	1344 ROUTE 9        	MONRO INC           	                    	RS 	10/27/2004	09/30/2020	09/30/2022
3868	3140018	THORNTONS SERV STA  	INC                 	2780 W MAIN ST      	ROBERT J RUTLEDGE   	                    	RS 	06/05/1981	04/15/2015	05/31/2017
3869	7125343	TJG AUTO REPAIR     	                    	1022 ROUTE 376      	THOMAS J GREICO     	                    	RSB	03/26/2019		02/28/2021
3870	7063008	ALS AUTO            	                    	60 MIDDLE BUSH RD   	ALPHONSE J GARGANO  	                    	RS 	05/19/1993	04/02/2019	04/30/2021
3871	7085472	DCH WAPPINGERS FALLS	TOYOTA AUTO GROUP   	1349 RT 9N          	DCH NY MOTORS LLC   	                    	RS 	08/20/1999	06/10/2019	07/31/2021
3872	7120201	FIVE STAR AUTOMOTIVE	OF NY LLC           	1318 ROUTE 9        	JOHN J CALIO        	                    	RS 	11/06/2015	10/31/2017	10/31/2019
3873	7103625	WAPPINGERS AUTO TECH	                    	783 OLD ROUTE 9     	MARIA A RIGAGLIA    	                    	RS 	03/12/2007	01/29/2019	02/28/2021
3874	3140576	TOM MARINOS AUTO    	BODY INC            	4 FRANKLINDALE AV   	TOM MARINO          	                    	RSB	03/24/1981	04/02/2019	04/30/2021
3875	7120144	WAPPINGERS AUTO TECH	INC                 	1228 ROUTE 9        	MARIA A RIGAGLIA    	                    	RS 	10/21/2015	07/30/2019	09/30/2021
3876	7103406	ACTION AUTOMOTIVE   	COLLISION&MECH INC  	33 MARKET ST        	RENATO C PISTOL     	                    	RS 	02/07/2007	01/31/2019	01/31/2021
3877	7116026	ACURA OF WAPPINGERS 	FALLS               	1271 ROUTE 9        	RANA IMPORTS OF WF  	LLC                 	RS 	05/28/2013	02/14/2019	04/30/2021
3878	7116626	ARROW AUTO GLASS    	                    	1578 ROUTE 9        	ARROW AUTO GLASS    	OPERATING CO LLC    	RS 	09/27/2013	08/27/2019	08/31/2021
3879	7092290	AUTO ELEGANCE       	COLLISION INC       	3 MARLORVILE RD RT9D	GLEN CASTELLI       	                    	RSB	04/18/2002	02/27/2020	03/31/2022
3880	7075272	BRAKE SHOP THE      	                    	1228 ROUTE 9        	TAX BRAKES INC      	                    	RS 	08/09/1996	06/30/2014	07/31/2016
3881	7121560	BROTHERS AUTO REPAIR	LLC                 	110 AIRPORT DR STE C	ANDREW R BURCHFIELD 	                    	RS 	11/01/2016		10/31/2018
3882	7089904	COMMUNITY CAR CARE  	                    	7 DELAVERGNE AV     	DAVEO INC           	                    	RS 	05/02/2001	04/01/2015	04/30/2017
3883	7075961	COMPASS TRUCK &     	TOOL REPAIR         	2047 ROUTE 9D       	STEVEN NIEVES       	                    	RS 	09/20/1996	07/27/2020	08/31/2022
3884	7056092	DUTCHESS CAR CARE   	INC                 	955 RTE 376 SUITE 2 	RICHARD M FLYNN     	                    	RS 	07/31/1991	06/14/2019	06/30/2021
3885	7020540	FIRESTONE COMPLETE  	AUTO CARE           	1840 R SOUTH RD     	BFS RETAIL &        	COMMERCIAL OPRTN LLC	RS 	04/11/1983	01/08/2019	03/31/2021
3886	7070113	FIVE STAR AUTOMOTIVE	                    	1318 RT 9           	BRIAN DARCY         	                    	RS 	03/22/1995	01/26/2015	02/28/2017
3887	7118338	FRANK NICODEMUS     	CLSSCS AND ANTQS INC	1090 ROUTE 376      	FRANK R NICODEMUS   	                    	RS 	08/28/2014	07/23/2018	07/31/2020
3888	7084880	HUDSON VALLEY       	VOLKSWAGEN          	1148 RTE 9          	HUDSON VALLEY       	VOLKSWAGEN LLC      	RS 	06/11/1999	04/29/2019	05/31/2021
3889	7105623	JACKS AUTO BODY     	                    	2079 ROUTE 9D       	JACKS AUTO OF       	DUTCHESS INC        	RSB	02/27/2008	12/31/2019	01/31/2022
3890	7112817	J HASTINGS          	AUTOMOTIVE INC      	35 VAN WYCK LANE    	JOHN HASTINGS       	                    	RS 	09/13/2011	09/04/2013	08/31/2015
3891	7054077	LEES AUTO BODY      	                    	4 MARSHALL RD       	LEE JAY NIZNIK      	                    	RSB	02/12/1991	01/24/2019	01/31/2021
3892	7106717	MAVIS DISCOUNT TIRE 	                    	124 OLD POST ROAD   	SOMERSET TIRE       	SERVICE INC         	RS 	08/13/2008	07/22/2020	07/31/2022
3893	7038953	MERCEDES BENZ OF    	WAPPINGERS FALLS    	134 OLD POST RD     	FRIENDLY COUNTRY INC	                    	RS 	04/29/1987	03/26/2015	03/31/2017
3894	7120288	MERCEDES BENZ OF    	WAPPINGERS FALLS    	134 OLD POST RD     	NORTHWOOD MOTORS LLC	                    	RS 	11/30/2015	10/04/2019	10/31/2021
3895	7127264	MHVS MID HUDSON     	VALLEY SUBARU LLC   	1715 ROUTE 9        	CHRISTOPHER W TURNER	                    	RS 	08/21/2020		07/31/2022
3896	7084445	MID HUDSON SUBARU   	                    	1715 RT 9           	HUDSON HEART LLC    	                    	RS 	05/31/2000	02/07/2019	03/31/2021
3897	7120046	MINI OF DUTCHESS    	COUNTY              	1162 ROUTE 9        	PEPPER WHITE        	PARTNERS LLC        	RS 	09/28/2015	06/14/2019	08/31/2021
